CZ446,20190901,LAX,PVG
MU5032,20190901,HKT,XIY
NK6126,20190901,FLL,BOS
W578,20190901,PEK,IKA
TW142,20190901,HAN,TAE
Q2288,20190901,DRV,IFU
GA7928,20190901,JED,CGK
TG473,20190901,BKK,BNE
VN422,20190901,SGN,PUS
QR813,20190901,HND,DOH
PK8601,20190901,KHI,MED
Y4408,20190901,TIJ,BJX
SU6581,20190901,LED,PEE
3U8810,20190901,HKT,CKG
FZ331,20190901,DXB,KHI
SU1424,20190901,SVO,CEK
N45873,20190901,LED,AYT
UT351,20190901,VKO,HMA
CA946,20190901,KHI,PEK
WZ5033,20190901,UFA,AYT
MI969,20190901,SZX,SIN
LY25,20190901,TLV,EWR
JU506,20190901,BEG,LCA
DZ6367,20190901,SZX,NYT
NH849,20190901,HND,BKK
NO6645,20190901,RMF,FCO
TK1558,20190901,HAJ,IST
VJ822,20190901,SGN,NRT
SU1574,20190901,SVO,AAQ
BC547,20190901,NGO,OKA
MU285,20190901,SZX,BKK
UK924,20190901,BOM,DEL
G9604,20190901,HBE,SHJ
SU6152,20190901,SIP,SVO
AK2139,20190901,WUH,BKI
CX798,20190901,CGK,HKG
JT3615,20190901,UPG,DJJ
VN340,20190901,SGN,NGO
OD173,20190901,DPS,ADL
TK736,20190901,IST,MZR
Z27047,20190901,ICN,CEB
A4333,20190901,KRR,TJM
QW9902,20190901,ICN,TAO
IB3836,20190901,MAD,LPA
PC2684,20190901,SAW,ESB
PC1702,20190901,ESB,EBL
TK1156,20190901,AYT,GYD
G82508,20190901,BOM,DEL
TK806,20190901,IST,ISU
EK399,20190901,DPS,DXB
FZ8561,20190901,DXB,ZNZ
MU543,20190901,PVG,SIN
WO104,20190901,YEG,YHM
WS652,20190901,YYC,YYZ
Z2808,20190901,MNL,SZX
FD120,20190901,DMK,CCU
EK303,20190901,PVG,DXB
CZ6042,20190901,SGN,PEK
FM929Q,20190901,PVG,SWA
SU2429,20190901,BLQ,SVO
TK964,20190901,IST,ECN
MM30,20190901,TPE,KIX
SU2513,20190901,BCN,SVO
SU1334,20190901,SVO,ARH
IB6011,20190901,MAD,MVD
AC1983,20190901,MEX,YYZ
DY7700,20190901,JFK,AMS
I5722,20190901,BLR,DEL
BV2929,20190901,HER,MXP
FZ859,20190901,DXB,ELQ
MU219,20190901,PVG,FRA
TB2662,20190901,TNG,BRU
GA656D,20190901,CGK,DJJ
ID6196,20190901,CGK,UPG
VN430,20190901,DAD,ICN
TK971,20190901,ECN,IST
AV623,20190901,LAX,SAL
TK7352,20190901,SAW,BJV
AA1126,20190901,BOG,MIA
9C9905,20190901,SWA,CTU
VN350,20190901,SGN,FUK
VN336,20190901,DAD,KIX
TK810,20190901,IST,TLV
F92318,20190901,IAH,PHL
GA656,20190901,CGK,DJJ
D7236,20190901,KUL,PER
WS736,20190901,YYC,YXU
JL774,20190901,MEL,NRT
PK720,20190901,BCN,SKT
JL35,20190901,HND,SIN
SQ801,20190901,PEK,SIN
VN318,20190901,DAD,NRT
SV321,20190901,CAI,RUH
TK7268,20190901,SAW,ADA
TG650,20190901,BKK,PUS
PC1033,20190901,SAW,HAJ
BG148,20190901,DXB,CGP
CZ307,20190901,CAN,AMS
ET685,20190901,PVG,ADD
PC2030,20190901,SAW,AYT
7R846,20190901,KLF,SVX
LS422,20190901,RHO,LBA
SV1474,20190901,MED,DMM
U21916,20190901,PMI,MAN
AC786,20190901,LAX,YYZ
TG644,20190901,BKK,NGO
Z236,20190901,KLO,ICN
CX383,20190901,HKG,ZRH
AC392,20190901,YVR,YUL
CX261,20190901,HKG,CDG
SG83,20190901,CCU,BKK
FZ330,20190901,KHI,DXB
6E6236,20190901,BLR,GOI
AI968,20190901,SHJ,TRV
6E2622,20190901,MAA,DEL
SQ218,20190901,MEL,SIN
WS426,20190901,YEG,YYZ
G37460,20190901,NAT,EZE
XQ251,20190901,FMO,AYT
TP1542,20190901,RAI,LIS
TG930,20190901,BKK,CDG
AI996,20190901,DXB,DEL
PC314,20190901,SAW,TBS
VN300,20190901,SGN,NRT
SV700,20190901,JED,MED
SQ225,20190901,SIN,PER
ET402,20190901,ADD,JED
AI988,20190901,KWI,HYD
MH178,20190901,CMB,KUL
CX880,20190901,HKG,LAX
LY82,20190901,BKK,TLV
XJ760,20190901,DMK,PVG
6E2376,20190901,DEL,BLR
MU553,20190901,PVG,CDG
PC690,20190901,SAW,RUH
LH646,20190901,TSE,ALA
TP4,20190901,NAT,LIS
EK379,20190901,HKT,DXB
TK12,20190901,JFK,IST
AF225,20190901,DEL,CDG
6E848,20190901,BOM,BLR
SM502,20190901,KWI,HBE
ET721,20190901,IST,ADD
SU2193,20190901,AMS,SVO
6E6185,20190901,BOM,COK
J9713,20190901,KWI,HMB
8Q1917,20190901,AYT,KZN
SU2497,20190901,CPH,SVO
MS99,20190901,ASW,CAI
UT341,20190901,VKO,NJC
6E952,20190901,BLR,PNQ
LA2439,20190901,LIM,EZE
SV1775,20190901,TIF,JED
ET605,20190901,PEK,ADD
ZH9007,20190901,CAN,BKK
AV245,20190901,JFK,BOG
MF825,20190901,FOC,CDG
SU1478,20190901,SVO,ABA
CX105,20190901,HKG,MEL
TK21,20190901,PEK,IST
SZ106,20190901,DXB,DYU
BC702,20190901,CTS,HND
PC1896,20190901,SAW,ECN
AA851,20190901,LAX,PHL
SG62,20190901,MCT,AMD
N4819,20190901,KRR,AYT
PC5643,20190901,AYT,NUE
6.00E+147,20190901,NAG,PNQ
BA2649,20190901,TIA,LGW
OZ736,20190901,SGN,ICN
PC1174,20190901,STN,SAW
MU760,20190901,PNH,PVG
SQ608,20190901,SIN,ICN
IB3908,20190901,MAD,TFS
ZE594,20190901,DAD,ICN
FD809,20190901,WUH,HKT
B2927,20190901,MSQ,KRR
IX687,20190901,SIN,MAA
MH39,20190901,ICN,KUL
NH203,20190901,HND,FRA
ID6170,20190901,CGK,AMQ
X36447,20190901,HRG,FRA
CA452,20190901,DXB,CKG
AM90,20190901,MEX,ICN
JL752,20190901,HAN,NRT
FD531,20190901,CAN,DMK
TR875,20190901,TPE,SIN
DP339,20190901,AER,SVX
TK577,20190901,ASM,IST
FM938Y,20190901,PVG,KWL
SU1262,20190901,SVO,GOJ
3O438,20190901,SAW,CMN
PG734,20190901,BOM,BKK
